,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,25,25,25,25,25
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,5000,5000,5000,5000,5000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,mixednormal,mixednormal,mixednormal,mixednormal,mixednormal
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
n_components,50,50,50,50,50
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,21580.578,27978.25,27195.279,26476.28,24131.288
NumberParameters,6484055.0,6484055.0,6484055.0,6484055.0,6484055.0
t_training_avg,10.4788212,10.4703825,10.4547712,10.4526403,10.4286415
t_training_med,10.4780257,10.4955596,10.4996303,10.4999142,10.484615
t_training_std,0.1497318,0.0851001,0.0922022,0.086516,0.0967825
MSEValidation,1.12e-05,9.4e-06,1.05e-05,1.08e-05,1.57e-05
RMSEValidation,0.0033429,0.0030604,0.0032448,0.003288,0.0039561
EnergyScoreValidation,0.0499369,0.0435593,0.0458985,0.0471357,0.0558747
CRPSValidation,0.0019742,0.0017688,0.0017933,0.0019451,0.0022544
Gaussian NLLValidation,-4.0433445,-4.1920094,-4.1410832,-4.0812383,-3.963979
CoverageValidation,0.9998308,0.9997396,0.9998308,0.9998959,0.9997049
QICEValidation,0.1006241,0.0955972,0.092921,0.0973533,0.0943003
MSETest,1.21e-05,1.05e-05,1.18e-05,1.12e-05,1.72e-05
RMSETest,0.0034792,0.0032334,0.0034302,0.0033476,0.0041478
EnergyScoreTest,0.050607,0.0435404,0.04629,0.0475348,0.0577711
CRPSTest,0.0019888,0.0017584,0.0017965,0.0019691,0.0022937
Gaussian NLLTest,-4.0371847,-4.1971407,-4.1400213,-4.073844,-3.9553175
CoverageTest,0.9998282,0.9998321,0.999711,0.9997071,0.999793
QICETest,0.0998273,0.0965102,0.0929563,0.0967578,0.0940367
