,deterministic,deterministic,iDDPM,iDDPM,mixednormal,mixednormal,mvnormal,mvnormal,normal,normal
Statistic,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std
t_training,84.43201446533203,,-1.0,,86.3829574584961,,76.37538146972656,,82.30033874511719,
t_training_med,84.35467529296875,,-1.0,,86.24525451660156,,76.21408081054688,,82.22285461425781,
RMSETest,0.7618836164474487,,0.7198659181594849,,0.7051045894622803,,0.763148307800293,,0.7124674916267395,
EnergyScoreTest,102.4986801147461,,96.71368408203125,,95.68175506591797,,101.38745880126953,,96.48509979248047,
CRPSTest,0.39276689291000366,,0.35630229115486145,,0.3494783937931061,,0.37679389119148254,,0.35475608706474304,
Gaussian NLLTest,1.0393892526626587,,0.9182835817337036,,0.9799088835716248,,0.93486487865448,,0.9712821245193481,
C95Test,0.972764790058136,,0.8509268164634705,,0.8253148794174194,,0.9432651996612549,,0.8359035849571228,
C90Test,0.9489216208457947,,0.7842739224433899,,0.7589703798294067,,0.9040359258651733,,0.7695019245147705,
C75Test,0.8545355796813965,,0.6245808005332947,,0.603702187538147,,0.7799211144447327,,0.6122564077377319,
C50Test,0.6214128136634827,,0.4006277918815613,,0.3880791962146759,,0.5423296093940735,,0.392938494682312,
